title,channel,views,age_days,likes,comments,duration,view_velocity,video_id
I Built an AI Agent for YouTube,@TechLab,284000,12,9200,412,14:22,23667,vid0001
I Tried Local AI for 30 Days,@DevMike,156000,8,5100,289,11:05,19500,vid0002
Don't Use ChatGPT Like This,@AICraft,98000,21,3400,178,8:44,4667,vid0003
Top 10 AI Tools 2026,@ListHub,412000,45,2100,94,18:30,9156,vid0004
I Built a Local AI Research Agent,@Buildables,201000,10,7800,331,12:48,20100,vid0005
I Tried Every AI Coding Tool,@CodeWithSam,178000,15,6100,255,13:10,11867,vid0006
AI Agents Explained in 10 Minutes,@MLDaily,142000,30,4200,140,10:02,4733,vid0007
Don't Trust AI Until You See This,@SecureDev,86000,18,2900,167,9:21,4778,vid0008
I Made an AI That Reads My Comments,@CreatorOps,231000,9,8400,398,11:55,25667,vid0009
Best AI Apps You Need Right Now,@AppScout,305000,52,1900,72,16:40,5865,vid0010
I Built an AI Thumbnail Judge,@DesignAI,167000,11,5600,276,10:30,15182,vid0011
Local LLM vs Cloud — Real Test,@OpenStack,121000,14,3700,151,12:15,8643,vid0012
